Brand Name,Name of the Product,price,Return/Exchange,Expected Delivery,Availability,Product URL
Kadence,"Kadence rosewood Guitar Frontier Series, Electric Acoustic Black Guitar With EQ, Die Cast Keys, Set Of Strings, Strap, Picks And Bag (Black EQ, Electric Acoustic)","5,399",7 days Replacement,"Saturday, 8 June",In stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Strings/dp/B078GTJP5Y/ref=sr_1_16?crid=1AK26YBQS39DZ&dib=eyJ2IjoiMSJ9.H_dE0w8OHcmESxseNpLSv9VHAFZGAvnjiXP1ErC8wMb9qb2hwy7IU8xDKV0gPxtM5vblgBWj7EDxKlr338R-4kZ1boCfCg2_zLLmUzUPYSez5ORfZN8kxvWumuZytHYyRDHJ8UTu2lD1djyQau7Ce7b9WaAHd16INWZSKLVOdpNCXJmKds84xUnOAA_oBNQK_gKYjqaV9_vgfWmYIhTvXHEPFprasP5XHeNE9rqlcMpKq8NrRmCTzW_a6jrc61o0kpL81ZFix65hPsDy10kXdvLxJXqPKyRsgOTPqd5jhDw.AGpC5BDJOaluQuT07aqpxHl1wDcZIv1Mg77KSI702gs&dib_tag=se&keywords=guitar&qid=1717413583&sprefix=%2Caps%2C212&sr=8-16
Yamaha,Yamaha 22.8 Inches Merantiwood Classical Guitar C40//02 (Brown),"7,800",7 days Replacement,"Thursday, 6 June",In stock,https://www.amazon.in/Yamaha-Classical-Guitar-C40-02/dp/B003UGCUFE/ref=sr_1_17?crid=1AK26YBQS39DZ&dib=eyJ2IjoiMSJ9.H_dE0w8OHcmESxseNpLSv9VHAFZGAvnjiXP1ErC8wMb9qb2hwy7IU8xDKV0gPxtM5vblgBWj7EDxKlr338R-4kZ1boCfCg2_zLLmUzUPYSez5ORfZN8kxvWumuZytHYyRDHJ8UTu2lD1djyQau7Ce7b9WaAHd16INWZSKLVOdpNCXJmKds84xUnOAA_oBNQK_gKYjqaV9_vgfWmYIhTvXHEPFprasP5XHeNE9rqlcMpKq8NrRmCTzW_a6jrc61o0kpL81ZFix65hPsDy10kXdvLxJXqPKyRsgOTPqd5jhDw.AGpC5BDJOaluQuT07aqpxHl1wDcZIv1Mg77KSI702gs&dib_tag=se&keywords=guitar&qid=1717413583&sprefix=%2Caps%2C212&sr=8-17
Henrix,"Henrix 38C 38 Inch Cutaway Acoustic Guitar With Dual Action Truss Rod, Gigbag, Picks, String Set, String Winder, Strap, Polishing Cloth & Ebook - Natural","3,199",7 days Replacement,"Thursday, 6 June",In stock,https://www.amazon.in/Henrix-Cutaway-Acoustic-Die-cast-Dual-action/dp/B07VHSCGCG/ref=sr_1_18?crid=1AK26YBQS39DZ&dib=eyJ2IjoiMSJ9.H_dE0w8OHcmESxseNpLSv9VHAFZGAvnjiXP1ErC8wMb9qb2hwy7IU8xDKV0gPxtM5vblgBWj7EDxKlr338R-4kZ1boCfCg2_zLLmUzUPYSez5ORfZN8kxvWumuZytHYyRDHJ8UTu2lD1djyQau7Ce7b9WaAHd16INWZSKLVOdpNCXJmKds84xUnOAA_oBNQK_gKYjqaV9_vgfWmYIhTvXHEPFprasP5XHeNE9rqlcMpKq8NrRmCTzW_a6jrc61o0kpL81ZFix65hPsDy10kXdvLxJXqPKyRsgOTPqd5jhDw.AGpC5BDJOaluQuT07aqpxHl1wDcZIv1Mg77KSI702gs&dib_tag=se&keywords=guitar&qid=1717413583&sprefix=%2Caps%2C212&sr=8-18
Medellin,"Medellin Acoustic Guitar (with guitar learning course) Neon Pink (Combo, Strings,Bag,Picks and guitar course)","2,599",7 days Replacement,"Saturday, 8 June",In stock,https://www.amazon.in/Medellin-Acoustic-Guitar-learning-Strings/dp/B0CCNSN9BV/ref=sr_1_19?crid=1AK26YBQS39DZ&dib=eyJ2IjoiMSJ9.H_dE0w8OHcmESxseNpLSv9VHAFZGAvnjiXP1ErC8wMb9qb2hwy7IU8xDKV0gPxtM5vblgBWj7EDxKlr338R-4kZ1boCfCg2_zLLmUzUPYSez5ORfZN8kxvWumuZytHYyRDHJ8UTu2lD1djyQau7Ce7b9WaAHd16INWZSKLVOdpNCXJmKds84xUnOAA_oBNQK_gKYjqaV9_vgfWmYIhTvXHEPFprasP5XHeNE9rqlcMpKq8NrRmCTzW_a6jrc61o0kpL81ZFix65hPsDy10kXdvLxJXqPKyRsgOTPqd5jhDw.AGpC5BDJOaluQuT07aqpxHl1wDcZIv1Mg77KSI702gs&dib_tag=se&keywords=guitar&qid=1717413583&sprefix=%2Caps%2C212&sr=8-19
Kadence,"Kadence Frontier guitar with Online Guitar learning course , Wine Red Acoustic Guitar with Die Cast Keys, Set of Strings, Strap, Picks and Bag (Wine Red, Acoustic)","4,899",7 days Replacement,"Saturday, 8 June",In stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Strings/dp/B01GDZ46AA/ref=sr_1_20?crid=1AK26YBQS39DZ&dib=eyJ2IjoiMSJ9.H_dE0w8OHcmESxseNpLSv9VHAFZGAvnjiXP1ErC8wMb9qb2hwy7IU8xDKV0gPxtM5vblgBWj7EDxKlr338R-4kZ1boCfCg2_zLLmUzUPYSez5ORfZN8kxvWumuZytHYyRDHJ8UTu2lD1djyQau7Ce7b9WaAHd16INWZSKLVOdpNCXJmKds84xUnOAA_oBNQK_gKYjqaV9_vgfWmYIhTvXHEPFprasP5XHeNE9rqlcMpKq8NrRmCTzW_a6jrc61o0kpL81ZFix65hPsDy10kXdvLxJXqPKyRsgOTPqd5jhDw.AGpC5BDJOaluQuT07aqpxHl1wDcZIv1Mg77KSI702gs&dib_tag=se&keywords=guitar&qid=1717413583&sprefix=%2Caps%2C212&sr=8-20
Gum-Tea,"Acoustic Guitar, 39 Inch Cutaway, 039C with Bag, Strings, Pick and Strap, Random Colour colors may be vary","4,997",-,"Monday, 10 June",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MjcxMjU4NDI1MTU4MTU0OjE3MTc0MTM1ODM6c3BfbXRmOjMwMDE0NjM2MDE2MzUzMjo6MDo6&url=%2FAcoustic-Guitar-Cutaway-Strings-Strap%2Fdp%2FB08NTC4KG4%2Fref%3Dsr_1_22_sspa%3Fcrid%3D1AK26YBQS39DZ%26dib%3DeyJ2IjoiMSJ9.H_dE0w8OHcmESxseNpLSv9VHAFZGAvnjiXP1ErC8wMb9qb2hwy7IU8xDKV0gPxtM5vblgBWj7EDxKlr338R-4kZ1boCfCg2_zLLmUzUPYSez5ORfZN8kxvWumuZytHYyRDHJ8UTu2lD1djyQau7Ce7b9WaAHd16INWZSKLVOdpNCXJmKds84xUnOAA_oBNQK_gKYjqaV9_vgfWmYIhTvXHEPFprasP5XHeNE9rqlcMpKq8NrRmCTzW_a6jrc61o0kpL81ZFix65hPsDy10kXdvLxJXqPKyRsgOTPqd5jhDw.AGpC5BDJOaluQuT07aqpxHl1wDcZIv1Mg77KSI702gs%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1717413583%26sprefix%3D%252Caps%252C212%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
-,SG Musical - Guitar Floor Stand Foldable and Anti-Slip Guitar Metal Stand for All Guitar Acoustic Classic Electric Bass Travel Guitar Stand Guitar Accessories A-Frame Stand for Guitar,549,-,"Saturday, 8 June",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MjcxMjU4NDI1MTU4MTU0OjE3MTc0MTM1ODM6c3BfbXRmOjMwMDE1MTQ1NDkxODkzMjo6MDo6&url=%2FSG-Musical-Anti-Slip-Accessories-Frame%2Fdp%2FB0BG5HYYQL%2Fref%3Dsr_1_23_sspa%3Fcrid%3D1AK26YBQS39DZ%26dib%3DeyJ2IjoiMSJ9.H_dE0w8OHcmESxseNpLSv9VHAFZGAvnjiXP1ErC8wMb9qb2hwy7IU8xDKV0gPxtM5vblgBWj7EDxKlr338R-4kZ1boCfCg2_zLLmUzUPYSez5ORfZN8kxvWumuZytHYyRDHJ8UTu2lD1djyQau7Ce7b9WaAHd16INWZSKLVOdpNCXJmKds84xUnOAA_oBNQK_gKYjqaV9_vgfWmYIhTvXHEPFprasP5XHeNE9rqlcMpKq8NrRmCTzW_a6jrc61o0kpL81ZFix65hPsDy10kXdvLxJXqPKyRsgOTPqd5jhDw.AGpC5BDJOaluQuT07aqpxHl1wDcZIv1Mg77KSI702gs%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1717413583%26sprefix%3D%252Caps%252C212%26sr%3D8-23-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
-,"SG Musical - Guitar Belt, Rubber Guitar Pick Holder, 4 picks, 4 silicon fingers",319,-,"Saturday, 8 June",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MjcxMjU4NDI1MTU4MTU0OjE3MTc0MTM1ODM6c3BfbXRmOjMwMDE0NTc0NjU3MTQzMjo6MDo6&url=%2FSG-Musical-Guitar-silicon-fingers%2Fdp%2FB0BD4B826N%2Fref%3Dsr_1_24_sspa%3Fcrid%3D1AK26YBQS39DZ%26dib%3DeyJ2IjoiMSJ9.H_dE0w8OHcmESxseNpLSv9VHAFZGAvnjiXP1ErC8wMb9qb2hwy7IU8xDKV0gPxtM5vblgBWj7EDxKlr338R-4kZ1boCfCg2_zLLmUzUPYSez5ORfZN8kxvWumuZytHYyRDHJ8UTu2lD1djyQau7Ce7b9WaAHd16INWZSKLVOdpNCXJmKds84xUnOAA_oBNQK_gKYjqaV9_vgfWmYIhTvXHEPFprasP5XHeNE9rqlcMpKq8NrRmCTzW_a6jrc61o0kpL81ZFix65hPsDy10kXdvLxJXqPKyRsgOTPqd5jhDw.AGpC5BDJOaluQuT07aqpxHl1wDcZIv1Mg77KSI702gs%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1717413583%26sprefix%3D%252Caps%252C212%26sr%3D8-24-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
blueberry,"BLUEBERRY B-D38, Acoustic Guitar Kit Inbuilt Truss Rod with Bag, Strap, One Pack Strings And Picks - 38 Inch (Black)","2,895",7 days Replacement,"Thursday, 6 June",In stock,https://www.amazon.in/Blueberry-B-D38-Acoustic-Inbuilt-Strings/dp/B07PGV8VCB/ref=sr_1_26?crid=1AK26YBQS39DZ&dib=eyJ2IjoiMSJ9.H_dE0w8OHcmESxseNpLSv9VHAFZGAvnjiXP1ErC8wMb9qb2hwy7IU8xDKV0gPxtM5vblgBWj7EDxKlr338R-4kZ1boCfCg2_zLLmUzUPYSez5ORfZN8kxvWumuZytHYyRDHJ8UTu2lD1djyQau7Ce7b9WaAHd16INWZSKLVOdpNCXJmKds84xUnOAA_oBNQK_gKYjqaV9_vgfWmYIhTvXHEPFprasP5XHeNE9rqlcMpKq8NrRmCTzW_a6jrc61o0kpL81ZFix65hPsDy10kXdvLxJXqPKyRsgOTPqd5jhDw.AGpC5BDJOaluQuT07aqpxHl1wDcZIv1Mg77KSI702gs&dib_tag=se&keywords=guitar&qid=1717413583&sprefix=%2Caps%2C212&sr=8-26
Yamaha,Yamaha Bass Wood Fs80C Natural Concert Cutaway Guitar,"7,900",7 days Replacement,"Tuesday, 11 June",In stock,https://www.amazon.in/Yamaha-Natural-Concert-Cutaway-Guitar/dp/B08KW4DRKL/ref=sr_1_31?crid=1AK26YBQS39DZ&dib=eyJ2IjoiMSJ9.H_dE0w8OHcmESxseNpLSv9VHAFZGAvnjiXP1ErC8wMb9qb2hwy7IU8xDKV0gPxtM5vblgBWj7EDxKlr338R-4kZ1boCfCg2_zLLmUzUPYSez5ORfZN8kxvWumuZytHYyRDHJ8UTu2lD1djyQau7Ce7b9WaAHd16INWZSKLVOdpNCXJmKds84xUnOAA_oBNQK_gKYjqaV9_vgfWmYIhTvXHEPFprasP5XHeNE9rqlcMpKq8NrRmCTzW_a6jrc61o0kpL81ZFix65hPsDy10kXdvLxJXqPKyRsgOTPqd5jhDw.AGpC5BDJOaluQuT07aqpxHl1wDcZIv1Mg77KSI702gs&dib_tag=se&keywords=guitar&qid=1717413583&sprefix=%2Caps%2C212&sr=8-31
Yamaha,"YAMAHA Mexa Yamaha F310, Dreadnought Acoustic Guitar with Sponge Bag, Belt and Plectrums Combo Pack","10,509",7 days Replacement,"Saturday, 8 June",Only 2 left in stock.,https://www.amazon.in/yamaha-acoustic-guitar-Dreadnought-Plectrums/dp/B07KB8VP6X/ref=sr_1_32?crid=1AK26YBQS39DZ&dib=eyJ2IjoiMSJ9.H_dE0w8OHcmESxseNpLSv9VHAFZGAvnjiXP1ErC8wMb9qb2hwy7IU8xDKV0gPxtM5vblgBWj7EDxKlr338R-4kZ1boCfCg2_zLLmUzUPYSez5ORfZN8kxvWumuZytHYyRDHJ8UTu2lD1djyQau7Ce7b9WaAHd16INWZSKLVOdpNCXJmKds84xUnOAA_oBNQK_gKYjqaV9_vgfWmYIhTvXHEPFprasP5XHeNE9rqlcMpKq8NrRmCTzW_a6jrc61o0kpL81ZFix65hPsDy10kXdvLxJXqPKyRsgOTPqd5jhDw.AGpC5BDJOaluQuT07aqpxHl1wDcZIv1Mg77KSI702gs&dib_tag=se&keywords=guitar&qid=1717413583&sprefix=%2Caps%2C212&sr=8-32
Kadence,"Kadence Slowhand Solid Spruce Top SH101, Premium Semi Acoustic Guitar, 41"" Full Size Jumbo Guitar, Demi-cutaway design with Padded Bag, Picks, Strings, Cable and Capo","15,749",7 days Replacement,"Saturday, 8 June",In stock,https://www.amazon.in/Kadence-Slowhand-Premium-Acoustic-Instrument/dp/B077SSGVK6/ref=sr_1_39?crid=1AK26YBQS39DZ&dib=eyJ2IjoiMSJ9.H_dE0w8OHcmESxseNpLSv9VHAFZGAvnjiXP1ErC8wMb9qb2hwy7IU8xDKV0gPxtM5vblgBWj7EDxKlr338R-4kZ1boCfCg2_zLLmUzUPYSez5ORfZN8kxvWumuZytHYyRDHJ8UTu2lD1djyQau7Ce7b9WaAHd16INWZSKLVOdpNCXJmKds84xUnOAA_oBNQK_gKYjqaV9_vgfWmYIhTvXHEPFprasP5XHeNE9rqlcMpKq8NrRmCTzW_a6jrc61o0kpL81ZFix65hPsDy10kXdvLxJXqPKyRsgOTPqd5jhDw.AGpC5BDJOaluQuT07aqpxHl1wDcZIv1Mg77KSI702gs&dib_tag=se&keywords=guitar&qid=1717413583&sprefix=%2Caps%2C212&sr=8-39
VAULT,"Vault EA20 Guitar Kit with Learn to Play Ebook, Bag, Strings, Straps, Picks, String winder & Polishing Cloth - 40 inch Cutaway Acoustic Guitar - Natural","4,899",7 days Replacement,"Wednesday, 5 June",In stock,https://www.amazon.in/Strings-Straps-String-winder-Polishing/dp/B07RV9FJ2Z/ref=sr_1_40?crid=1AK26YBQS39DZ&dib=eyJ2IjoiMSJ9.H_dE0w8OHcmESxseNpLSv9VHAFZGAvnjiXP1ErC8wMb9qb2hwy7IU8xDKV0gPxtM5vblgBWj7EDxKlr338R-4kZ1boCfCg2_zLLmUzUPYSez5ORfZN8kxvWumuZytHYyRDHJ8UTu2lD1djyQau7Ce7b9WaAHd16INWZSKLVOdpNCXJmKds84xUnOAA_oBNQK_gKYjqaV9_vgfWmYIhTvXHEPFprasP5XHeNE9rqlcMpKq8NrRmCTzW_a6jrc61o0kpL81ZFix65hPsDy10kXdvLxJXqPKyRsgOTPqd5jhDw.AGpC5BDJOaluQuT07aqpxHl1wDcZIv1Mg77KSI702gs&dib_tag=se&keywords=guitar&qid=1717413583&sprefix=%2Caps%2C212&sr=8-40
