Brand_Name,Smartphone_name,Colour,RAM,ROM,Primary_Camera,Secondary_Camera,Display_Size,Battery_Capacity,Price,Product_URL
realme,realme NARZO 70X 5G ,ICE BLUE,4 GB RAM , 128 GB ROM,50MP Rear Camera , 8MP Front Camera,17.07 cm (6.72 inch) Display,5000 mAh Battery,"₹12,297",https://www.flipkart.com/realme-narzo-70x-5g-ice-blue-128-gb/p/itm4ef66169ea11b?pid=MOBHYCWWHK5QSU3H&lid=LSTMOBHYCWWHK5QSU3HPMMLTW&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=55a8a4b0-3cbc-469a-9f5a-50d992de0954.MOBHYCWWHK5QSU3H.SEARCH&ppt=hp&ppn=homepage&ssid=n3tukysxo00000001717003228648&qH=9b26a23b2cff510d
MTR,MTR M310,-,32 MB RAM , 32 MB ROM,0.3MP Rear Camera,-,4.5 cm (1.77 inch) Display,1000 mAh Battery,₹645,https://www.flipkart.com/mtr-m310/p/itm1c46eaf260fc9?pid=MOBGXWBVHYZDYEVZ&lid=LSTMOBGXWBVHYZDYEVZCAYWFQ&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=55a8a4b0-3cbc-469a-9f5a-50d992de0954.MOBGXWBVHYZDYEVZ.SEARCH&ppt=hp&ppn=homepage&ssid=n3tukysxo00000001717003228648&qH=9b26a23b2cff510d
realme,realme NARZO 70 5G ,FOREST GREEN,8 GB RAM , 128 GB ROM,50MP Rear Camera , 16MP Front Camera,16.94 cm (6.67 inch) Full HD+ AMOLED Display,5000 mAh Battery,"₹16,372",https://www.flipkart.com/realme-narzo-70-5g-forest-green-128-gb/p/itm0d29cc0b3111b?pid=MOBHYFDAZG9PG4NR&lid=LSTMOBHYFDAZG9PG4NRDGUXT5&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=55a8a4b0-3cbc-469a-9f5a-50d992de0954.MOBHYFDAZG9PG4NR.SEARCH&ppt=hp&ppn=homepage&ssid=n3tukysxo00000001717003228648&qH=9b26a23b2cff510d
LAVA,LAVA YUVA 2 PRO ,Glass Green,4 GB RAM , 64 GB ROM,13MP Rear Camera,-,16.51 cm (6.5 inch) Display,5000 mAh Battery,"₹7,999",https://www.flipkart.com/lava-yuva-2-pro-glass-green-64-gb/p/itm3361d0bd5d801?pid=MOBGN7UQQFXRHYHG&lid=LSTMOBGN7UQQFXRHYHGOOGS8S&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=55a8a4b0-3cbc-469a-9f5a-50d992de0954.MOBGN7UQQFXRHYHG.SEARCH&ppt=hp&ppn=homepage&ssid=n3tukysxo00000001717003228648&qH=9b26a23b2cff510d
realme,realme NARZO 70 5G ,ICE BLUE,8 GB RAM , 128 GB ROM,50MP Rear Camera , 16MP Front Camera,16.94 cm (6.67 inch) Full HD+ AMOLED Display,5000 mAh Battery,"₹16,449",https://www.flipkart.com/realme-narzo-70-5g-ice-blue-128-gb/p/itm0d29cc0b3111b?pid=MOBHYFDAA4PXGHZJ&lid=LSTMOBHYFDAA4PXGHZJNMXDND&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=55a8a4b0-3cbc-469a-9f5a-50d992de0954.MOBHYFDAA4PXGHZJ.SEARCH&ppt=hp&ppn=homepage&ssid=n3tukysxo00000001717003228648&qH=9b26a23b2cff510d
LAVA,LAVA YUVA 2 PRO ,LAVENDER,4 GB RAM , 64 GB ROM,13MP Rear Camera,-,16.51 cm (6.5 inch) Display,5000 mAh Battery,"₹7,399",https://www.flipkart.com/lava-yuva-2-pro-lavender-64-gb/p/itm5e2b5479b0c02?pid=MOBGN6ETGSY5UY2U&lid=LSTMOBGN6ETGSY5UY2ULME18C&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=55a8a4b0-3cbc-469a-9f5a-50d992de0954.MOBGN6ETGSY5UY2U.SEARCH&ppt=hp&ppn=homepage&ssid=n3tukysxo00000001717003228648&qH=9b26a23b2cff510d
LAVA,LAVA YUVA 2 PRO ,GLASS LAVENDER,4 GB RAM , 64 GB ROM,13MP + 13MP , 5MP + 5MP Dual Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,"₹6,973",https://www.flipkart.com/lava-yuva-2-pro-glass-lavender-64-gb/p/itm99eac1ab15efe?pid=MOBGQ6CJG9HTUZQG&lid=LSTMOBGQ6CJG9HTUZQG8UIHAL&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=55a8a4b0-3cbc-469a-9f5a-50d992de0954.MOBGQ6CJG9HTUZQG.SEARCH&ppt=hp&ppn=homepage&ssid=n3tukysxo00000001717003228648&qH=9b26a23b2cff510d
Google,Google Pixel 7 ,Snow,8 GB RAM , 128 GB ROM,50MP + 12MP , 10.8MP Front Camera,16.0 cm (6.3 inch) Full HD+ Display,4270 mAh Battery,"₹43,999",https://www.flipkart.com/google-pixel-7-snow-128-gb/p/itm45d75002be0e7?pid=MOBGHW44PRZ8WP2M&lid=LSTMOBGHW44PRZ8WP2MEGIXNO&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=55a8a4b0-3cbc-469a-9f5a-50d992de0954.MOBGHW44PRZ8WP2M.SEARCH&ppt=hp&ppn=homepage&ssid=n3tukysxo00000001717003228648&qH=9b26a23b2cff510d
itel,itel A70 ,Starlish Black,4 GB RAM , 256 GB ROM,13MP Rear Camera,-,16.76 cm (6.6 inch) Display,5000 mAh Battery,"₹7,289",https://www.flipkart.com/itel-a70-starlish-black-256-gb/p/itm445c20e8816f3?pid=MOBGYFH8T8EGX5GR&lid=LSTMOBGYFH8T8EGX5GRWGETMR&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=55a8a4b0-3cbc-469a-9f5a-50d992de0954.MOBGYFH8T8EGX5GR.SEARCH&ppt=hp&ppn=homepage&ssid=n3tukysxo00000001717003228648&qH=9b26a23b2cff510d
vivo,vivo Y16 ,Steller Black,4 GB RAM , 64 GB ROM,13MP Rear Camera,-,16.54 cm (6.51 inch) Display,5000 mAh Battery,"₹9,699",https://www.flipkart.com/vivo-y16-steller-black-64-gb/p/itm046b70ada90e1?pid=MOBGPFFECWGWGUFT&lid=LSTMOBGPFFECWGWGUFT0SJHHU&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=55a8a4b0-3cbc-469a-9f5a-50d992de0954.MOBGPFFECWGWGUFT.SEARCH&ppt=hp&ppn=homepage&ssid=n3tukysxo00000001717003228648&qH=9b26a23b2cff510d
SAMSUNG,SAMSUNG Galaxy M15 5G ,Stone Grey,6 GB RAM , 128 GB ROM,50MP Rear Camera,-,16.51 cm (6.5 inch) Display,6000 mAh Battery,"₹13,280",https://www.flipkart.com/samsung-galaxy-m15-5g-stone-grey-128-gb/p/itmf5a4280beb534?pid=MOBGZRYC2ZGKF42G&lid=LSTMOBGZRYC2ZGKF42GH7GAQL&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=55a8a4b0-3cbc-469a-9f5a-50d992de0954.MOBGZRYC2ZGKF42G.SEARCH&ppt=hp&ppn=homepage&ssid=n3tukysxo00000001717003228648&qH=9b26a23b2cff510d
REDMI,REDMI Note 11 ,Horizon Blue,4 GB RAM , 64 GB ROM,50MP Rear Camera,-,16.33 cm (6.43 inch) Display,5000 mAh Battery,"₹10,520",https://www.flipkart.com/redmi-note-11-horizon-blue-64-gb/p/itm5b864c8b43490?pid=MOBGHDXJMSGZWYXQ&lid=LSTMOBGHDXJMSGZWYXQ2MSQOX&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=55a8a4b0-3cbc-469a-9f5a-50d992de0954.MOBGHDXJMSGZWYXQ.SEARCH&ppt=hp&ppn=homepage&ssid=n3tukysxo00000001717003228648&qH=9b26a23b2cff510d
